rep,lipid_resid,start_ps,end_ps,duration_ps
1,525,54300.0,54500.0,200.0
1,525,77700.0,77900.0,200.0
1,525,78500.0,78700.0,200.0
2,525,50500.0,50700.0,200.0
2,525,50900.0,51300.0,400.0
2,525,51500.0,51700.0,200.0
2,525,53100.0,53300.0,200.0
2,525,55500.0,55700.0,200.0
2,525,56100.0,56300.0,200.0
2,525,57300.0,57700.0,400.0
2,539,59100.0,59300.0,200.0
2,539,60300.0,60500.0,200.0
2,577,69500.0,69700.0,200.0
2,577,73700.0,73900.0,200.0
2,539,78900.0,79100.0,200.0
2,539,84500.0,84900.0,400.0
2,539,92700.0,92900.0,200.0
2,539,93100.0,93300.0,200.0
2,539,94500.0,94700.0,200.0
2,577,112900.0,113100.0,200.0
2,577,114300.0,114500.0,200.0
2,577,114900.0,115100.0,200.0
2,577,115300.0,115700.0,400.0
2,577,115900.0,116100.0,200.0
2,539,119500.0,119700.0,200.0
2,539,120900.0,121100.0,200.0
2,539,121500.0,121700.0,200.0
2,539,134100.0,134300.0,200.0
2,539,147500.0,147700.0,200.0
2,539,152100.0,152300.0,200.0
2,539,158700.0,158900.0,200.0
2,539,159500.0,159700.0,200.0
2,577,175300.0,175500.0,200.0
3,525,52300.0,52500.0,200.0
3,525,55500.0,55700.0,200.0
3,525,64100.0,64300.0,200.0
3,525,64500.0,64900.0,400.0
3,525,66900.0,67100.0,200.0
3,525,71900.0,72100.0,200.0
3,525,72300.0,72500.0,200.0
3,521,84100.0,84300.0,200.0
3,525,132900.0,133100.0,200.0
3,577,176700.0,176900.0,200.0
3,525,182500.0,182700.0,200.0
4,538,110500.0,110700.0,200.0
4,538,112500.0,112700.0,200.0
4,538,113500.0,113700.0,200.0
4,538,115500.0,115700.0,200.0
4,538,115900.0,116100.0,200.0
4,538,121500.0,121900.0,400.0
4,538,123700.0,123900.0,200.0
4,538,132700.0,132900.0,200.0
4,538,139100.0,139300.0,200.0
4,538,140300.0,140500.0,200.0
4,539,198100.0,198300.0,200.0
