rep,lipid_resid,start_ps,end_ps,duration_ps
1,412,50000.0,50200.0,200.0
1,364,50000.0,50200.0,200.0
1,364,50400.0,51000.0,600.0
1,412,50800.0,51000.0,200.0
1,412,51200.0,51400.0,200.0
1,412,51600.0,52000.0,400.0
1,418,52200.0,52400.0,200.0
1,418,52600.0,52800.0,200.0
1,528,53200.0,53400.0,200.0
1,528,54000.0,54200.0,200.0
1,395,54800.0,55000.0,200.0
1,418,55000.0,55200.0,200.0
1,395,55200.0,55400.0,200.0
1,412,55400.0,56000.0,600.0
1,418,56600.0,56800.0,200.0
1,395,55800.0,57400.0,1600.0
1,418,57400.0,57600.0,200.0
1,364,57600.0,57800.0,200.0
1,418,59400.0,60000.0,600.0
1,418,60200.0,60400.0,200.0
1,412,63600.0,63800.0,200.0
1,412,64200.0,64400.0,200.0
1,418,68600.0,68800.0,200.0
1,347,69800.0,70000.0,200.0
1,418,69000.0,71400.0,2400.0
1,418,72000.0,72200.0,200.0
1,418,72800.0,73200.0,400.0
1,418,73600.0,73800.0,200.0
1,418,74600.0,75200.0,600.0
1,418,75800.0,76000.0,200.0
1,347,76000.0,76200.0,200.0
1,347,77400.0,77600.0,200.0
1,418,76800.0,78200.0,1400.0
1,418,79600.0,79800.0,200.0
1,418,80200.0,80400.0,200.0
1,347,78200.0,80800.0,2600.0
1,347,81000.0,81400.0,400.0
1,347,81600.0,82200.0,600.0
1,359,82600.0,82800.0,200.0
1,347,82600.0,83000.0,400.0
1,347,83600.0,83800.0,200.0
1,347,84400.0,84800.0,400.0
1,302,84800.0,85000.0,200.0
1,347,85400.0,85600.0,200.0
1,347,85800.0,86000.0,200.0
1,347,86200.0,86400.0,200.0
1,347,86600.0,86800.0,200.0
1,410,84800.0,87200.0,2400.0
1,347,87200.0,88200.0,1000.0
1,347,88400.0,88600.0,200.0
1,347,89200.0,89400.0,200.0
1,347,90400.0,90600.0,200.0
1,347,91000.0,91400.0,400.0
1,347,92000.0,92400.0,400.0
1,347,94400.0,94600.0,200.0
1,395,95200.0,95400.0,200.0
1,395,95600.0,95800.0,200.0
1,395,96000.0,96400.0,400.0
1,302,97000.0,97600.0,600.0
1,347,97600.0,97800.0,200.0
1,347,98400.0,98600.0,200.0
1,347,99400.0,99600.0,200.0
1,347,101400.0,101600.0,200.0
1,347,102200.0,102400.0,200.0
1,347,104000.0,104200.0,200.0
1,302,105400.0,105600.0,200.0
1,347,105400.0,106000.0,600.0
1,347,106400.0,106600.0,200.0
1,347,110000.0,110200.0,200.0
1,359,111600.0,111800.0,200.0
1,347,112800.0,113000.0,200.0
1,306,116000.0,116200.0,200.0
1,395,116600.0,116800.0,200.0
1,347,117200.0,117600.0,400.0
1,306,117400.0,117600.0,200.0
1,347,118000.0,119200.0,1200.0
1,302,119000.0,119400.0,400.0
1,412,119400.0,120000.0,600.0
1,359,120000.0,120200.0,200.0
1,302,120000.0,120400.0,400.0
1,347,119400.0,120800.0,1400.0
1,347,121200.0,121400.0,200.0
1,306,121400.0,121800.0,400.0
1,359,123800.0,124400.0,600.0
1,302,120600.0,125200.0,4600.0
1,412,125000.0,125200.0,200.0
1,347,125000.0,125400.0,400.0
1,302,125400.0,125800.0,400.0
1,347,125600.0,126000.0,400.0
1,359,126000.0,126400.0,400.0
1,347,126200.0,126600.0,400.0
1,302,126400.0,127000.0,600.0
1,347,126800.0,127600.0,800.0
1,347,128000.0,128200.0,200.0
1,302,127200.0,128400.0,1200.0
1,409,128400.0,128600.0,200.0
