replicate,n,n_censored,naive_mean_ps,cv,K,component,tau_ps,weight,time_fraction
rep1,1670,14,898.6,2.83,3,1,423.9,0.8457,0.3496
rep1,1670,14,898.6,2.83,3,2,3082.6,0.1513,0.4548
rep1,1670,14,898.6,2.83,3,3,66218.6,0.0030,0.1955
rep2,1523,18,1099.5,4.20,3,1,437.2,0.8493,0.2672
rep2,1523,18,1099.5,4.20,3,2,2875.7,0.1402,0.2902
rep2,1523,18,1099.5,4.20,3,3,58598.1,0.0105,0.4427
rep3,1769,15,787.0,3.14,3,1,397.7,0.8607,0.4182
rep3,1769,15,787.0,3.14,3,2,2652.8,0.1353,0.4387
rep3,1769,15,787.0,3.14,3,3,29204.2,0.0040,0.1431
rep4,1356,16,944.0,2.40,2,1,447.8,0.8646,0.3973
rep4,1356,16,944.0,2.40,2,2,4336.5,0.1354,0.6027
rep5,1471,14,806.1,1.94,2,1,410.5,0.8289,0.4119
rep5,1471,14,806.1,1.94,2,2,2838.4,0.1711,0.5881
rep6,1312,15,981.1,4.30,3,1,387.0,0.8502,0.2791
rep6,1312,15,981.1,4.30,3,2,2899.1,0.1416,0.3482
rep6,1312,15,981.1,4.30,3,3,53364.7,0.0082,0.3727
rep7,1671,15,876.7,5.10,3,1,375.9,0.8653,0.3302
rep7,1671,15,876.7,5.10,3,2,2435.8,0.1260,0.3115
rep7,1671,15,876.7,5.10,3,3,40555.6,0.0087,0.3583
rep8,1155,18,1351.7,3.98,3,1,406.7,0.8088,0.2120
rep8,1155,18,1351.7,3.98,3,2,2800.8,0.1680,0.3032
rep8,1155,18,1351.7,3.98,3,3,32374.8,0.0232,0.4848
POOLED,11927,125,951.3,3.79,3,1,408.7,0.8464,0.3279
POOLED,11927,125,951.3,3.79,3,2,2868.0,0.1461,0.3972
POOLED,11927,125,951.3,3.79,3,3,38591.1,0.0075,0.2749
