panel,series,x,y
a,apo_rep1,0.05,-2.9301
a,apo_rep1,0.15,-2.8967
a,apo_rep1,0.25,-2.8374
a,apo_rep1,0.35,-2.8334
a,apo_rep1,0.45,-2.8848
a,apo_rep1,0.55,-2.8988
a,apo_rep1,0.65,-2.7534
a,apo_rep1,0.75,-2.4613
a,apo_rep1,0.85,-1.9986
a,apo_rep1,0.95,-1.4221
a,apo_rep1,1.05,-0.7658
a,apo_rep2,0.05,-2.9897
a,apo_rep2,0.15,-2.9635
a,apo_rep2,0.25,-2.9029
a,apo_rep2,0.35,-2.9104
a,apo_rep2,0.45,-2.9404
a,apo_rep2,0.55,-2.9351
a,apo_rep2,0.65,-2.7850
a,apo_rep2,0.75,-2.4393
a,apo_rep2,0.85,-1.9651
a,apo_rep2,0.95,-1.2712
a,apo_rep2,1.05,-0.5018
a,apo_rep3,0.05,-2.9855
a,apo_rep3,0.15,-2.9475
a,apo_rep3,0.25,-2.9064
a,apo_rep3,0.35,-2.9067
a,apo_rep3,0.45,-2.9411
a,apo_rep3,0.55,-2.9511
a,apo_rep3,0.65,-2.8092
a,apo_rep3,0.75,-2.5245
a,apo_rep3,0.85,-2.0262
a,apo_rep3,0.95,-1.3253
a,apo_rep3,1.05,-0.5088
a,apo_rep4,0.05,-3.1819
a,apo_rep4,0.15,-3.1053
a,apo_rep4,0.25,-3.0667
a,apo_rep4,0.35,-3.0275
a,apo_rep4,0.45,-3.0594
a,apo_rep4,0.55,-3.0910
a,apo_rep4,0.65,-2.9501
a,apo_rep4,0.75,-2.7078
a,apo_rep4,0.85,-2.2613
a,apo_rep4,0.95,-1.6167
a,apo_rep4,1.05,-0.8280
a,holo_rep1,0.05,-3.1413
a,holo_rep1,0.15,-3.0751
a,holo_rep1,0.25,-3.0068
a,holo_rep1,0.35,-2.9891
a,holo_rep1,0.45,-3.0347
a,holo_rep1,0.55,-3.0733
a,holo_rep1,0.65,-2.8734
a,holo_rep1,0.75,-2.6077
a,holo_rep1,0.85,-2.1064
a,holo_rep1,0.95,-1.4817
a,holo_rep1,1.05,-0.8105
a,holo_rep2,0.05,-3.2946
a,holo_rep2,0.15,-3.2667
a,holo_rep2,0.25,-3.2183
a,holo_rep2,0.35,-3.2265
a,holo_rep2,0.45,-3.2970
a,holo_rep2,0.55,-3.3065
a,holo_rep2,0.65,-3.1633
a,holo_rep2,0.75,-2.8593
a,holo_rep2,0.85,-2.4134
a,holo_rep2,0.95,-1.7404
a,holo_rep2,1.05,-0.8524
a,holo_rep3,0.05,-2.3407
a,holo_rep3,0.15,-2.3228
a,holo_rep3,0.25,-2.2707
a,holo_rep3,0.35,-2.2426
a,holo_rep3,0.45,-2.3389
a,holo_rep3,0.55,-2.3363
a,holo_rep3,0.65,-2.1989
a,holo_rep3,0.75,-1.8630
a,holo_rep3,0.85,-1.3915
a,holo_rep3,0.95,-0.6304
a,holo_rep3,1.05,0.0129
a,holo_rep4,0.05,-3.7022
a,holo_rep4,0.15,-3.6616
a,holo_rep4,0.25,-3.6173
a,holo_rep4,0.35,-3.6275
a,holo_rep4,0.45,-3.6714
a,holo_rep4,0.55,-3.6845
a,holo_rep4,0.65,-3.5378
a,holo_rep4,0.75,-3.2169
a,holo_rep4,0.85,-2.7168
a,holo_rep4,0.95,-2.0668
a,holo_rep4,1.05,-1.3530
b,propane,,-3.95
b,benzene,,-3.34
b,phenol,,+0.22
b,2-propanol,,+2.41
b,acetamide,,+5.91
c,benzene,-3.34,75.00
c,phenol,+0.22,40.15
c,acetamide,+5.91,3.00
c,benzene_no_preference,-3.34,19.79
c,phenol_no_preference,+0.22,17.35
c,acetamide_no_preference,+5.91,17.11
