protein,site,zeta,population,n_voxels,reference,tau=-0.5,tau=-1.0,tau=-1.5,tau=-2.0,tau=-2.5,tau=-3.0
AAC,"cav39",-0.78,"C  non-site acyl core",3690,depth-resolved,5.75,1.33,0.24,0.05,0.00,0.00
AAC,"cav39",-0.78,"C  non-site acyl core",3690,scalar,74.36,67.59,60.19,44.17,9.78,2.17
AAC,"cav39",-0.78,"D  validated site",8,depth-resolved,100.00,75.00,75.00,37.50,37.50,0.00
AAC,"cav39",-0.78,"D  validated site",8,scalar,100.00,100.00,100.00,75.00,75.00,62.50
AAC,"cav39",-0.78,"A  bulk water",33285,depth-resolved,4.63,0.23,0.00,0.00,0.00,0.00
AAC,"cav39",-0.78,"A  bulk water",33285,scalar,4.57,0.20,0.00,0.00,0.00,0.00
AAC,"cav39",-0.78,"B  far-field core ⚠ circular",43019,depth-resolved,0.06,0.00,0.00,0.00,0.00,0.00
AAC,"cav39",-0.78,"B  far-field core ⚠ circular",43019,scalar,47.01,37.07,25.64,13.92,0.12,0.00
C5aR1,"9P2",-0.07,"C  non-site acyl core",2993,depth-resolved,8.32,1.84,0.47,0.10,0.00,0.00
C5aR1,"9P2",-0.07,"C  non-site acyl core",2993,scalar,84.70,78.78,71.13,56.36,28.30,5.85
C5aR1,"9P2",-0.07,"D  validated site",13,depth-resolved,69.23,46.15,30.77,0.00,0.00,0.00
C5aR1,"9P2",-0.07,"D  validated site",13,scalar,100.00,100.00,84.62,84.62,76.92,69.23
C5aR1,"9P2",-0.07,"A  bulk water",32987,depth-resolved,8.79,1.25,0.02,0.00,0.00,0.00
C5aR1,"9P2",-0.07,"A  bulk water",32987,scalar,8.79,1.25,0.01,0.00,0.00,0.00
C5aR1,"9P2",-0.07,"B  far-field core ⚠ circular",43384,depth-resolved,0.16,0.00,0.00,0.00,0.00,0.00
C5aR1,"9P2",-0.07,"B  far-field core ⚠ circular",43384,scalar,55.31,45.97,35.78,22.72,7.03,0.00
TREK-1,"HS6, HS8",+0.52,"C  non-site acyl core",5009,depth-resolved,10.12,2.93,1.10,0.44,0.24,0.04
TREK-1,"HS6, HS8",+0.52,"C  non-site acyl core",5009,scalar,74.89,74.89,68.34,63.61,53.84,29.39
TREK-1,"HS6, HS8",+0.52,"D  validated site",29,depth-resolved,24.14,20.69,13.79,6.90,0.00,0.00
TREK-1,"HS6, HS8",+0.52,"D  validated site",29,scalar,44.83,44.83,41.38,41.38,37.93,31.03
TREK-1,"HS6, HS8",+0.52,"A  bulk water",22481,depth-resolved,3.08,3.08,1.52,0.02,0.00,0.00
TREK-1,"HS6, HS8",+0.52,"A  bulk water",22481,scalar,3.08,3.08,0.16,0.01,0.00,0.00
TREK-1,"HS6, HS8",+0.52,"B  far-field core ⚠ circular",28104,depth-resolved,0.23,0.01,0.00,0.00,0.00,0.00
TREK-1,"HS6, HS8",+0.52,"B  far-field core ⚠ circular",28104,scalar,50.00,50.00,40.95,34.95,22.99,4.49
